seeds,num_tasks,per_jitter,best_latency,run_time_order,"(latency, count)"
1755016116,8,0,3638,0.03636612091213465,"[(3638, 5040)]"
1755016117,8,0,559,0.039356146939098835,"[(559, 5040)]"
1755016118,8,0,930,0.04256608011201024,"[(930, 5040)]"
1755016119,8,0,280,0.03895447007380426,"[(280, 5040)]"
1755016120,8,0,4269,0.04574322188273072,"[(4269, 5040)]"
1755016121,8,0,1233,0.033364807022735476,"[(1233, 5040)]"
1755016122,8,0,1546,0.04293533903546631,"[(1546, 5040)]"
1755016123,8,0,494,0.042525415075942874,"[(494, 5040)]"
1755016124,8,0,1557,0.03881224198266864,"[(1557, 5040)]"
1755016125,8,0,1680,0.041012322064489126,"[(1680, 5040)]"
1755016126,8,0,1604,0.039428281830623746,"[(1604, 5040)]"
1755016127,8,0,1197,0.04350128606893122,"[(1197, 5040)]"
1755016128,8,0,645,0.03924644901417196,"[(645, 5040)]"
1755016129,8,0,3646,0.03951856796629727,"[(3646, 5040)]"
1755016130,8,0,1084,0.04571637185290456,"[(1084, 5040)]"
1755016131,8,0,3600,0.03782800608314574,"[(3600, 5040)]"
1755016132,8,0,2635,0.04143812297843397,"[(2635, 5040)]"
1755016133,8,0,760,0.03443549503572285,"[(760, 5040)]"
1755016134,8,0,1122,0.04208602011203766,"[(1122, 5040)]"
1755016135,8,0,623,0.04732889891602099,"[(623, 5040)]"
1755016136,8,0,465,0.04018019395880401,"[(465, 5040)]"
1755016037,10,0,2081,2.3778133769519627,"[(2081, 362880)]"
1755016038,10,0,561,2.612115103052929,"[(561, 362880)]"
1755016039,10,0,2957,2.771247358992696,"[(2957, 362880)]"
1755016040,10,0,1674,2.2974038030952215,"[(1674, 362880)]"
1755016041,10,0,663,2.7243054278660566,"[(663, 362880)]"
1755016042,10,0,693,2.928530554054305,"[(693, 362880)]"
1755016043,10,0,2924,3.115294435992837,"[(2924, 362880)]"
1755016044,10,0,3074,1.949103636899963,"[(3074, 362880)]"
1755016045,10,0,3039,3.403295299038291,"[(3039, 362880)]"
1755016046,10,0,2445,2.026153046870604,"[(2445, 362880)]"
1755016047,10,0,2891,3.7914649858139455,"[(2891, 362880)]"
1755016048,10,0,2646,1.8874489038717002,"[(2646, 362880)]"
1755016049,10,0,1066,1.8792274978477508,"[(1066, 362880)]"
1755016050,10,0,1759,4.664717840030789,"[(1759, 362880)]"
1755016051,10,0,3062,1.9087569848634303,"[(3062, 362880)]"
1755016052,10,0,3881,1.8993720959406346,"[(3881, 362880)]"
1755016053,10,0,1615,4.922635345021263,"[(1615, 181440), (1616, 30240), (1617, 136080), (1618, 15120)]"
1755016054,10,0,2163,2.0054086870513856,"[(2163, 362880)]"
1755016055,10,0,1597,1.9586938230786473,"[(1597, 362880)]"
1755016056,10,0,1309,1.7862420270685107,"[(1309, 362880)]"
1755016057,10,0,1181,2.036974161164835,"[(1181, 362880)]"
