seeds,num_tasks,per_jitter,best_latency,run_time_zero
1755016058,5,0,131,1.1021969839930534e-05
1755016059,5,0,160,1.1401018127799034e-05
1755016060,5,0,2401,1.2926000636070967e-05
1755016061,5,0,156,1.078099012374878e-05
1755016062,5,0,248,1.0913994628936052e-05
1755016063,5,0,49,1.1171039659529924e-05
1755016064,5,0,1428,1.2626987881958485e-05
1755016065,5,0,342,1.2323027476668358e-05
1755016066,5,0,1461,1.2833974324166775e-05
1755016067,5,0,592,1.2088974472135305e-05
1755016068,5,0,280,1.1702009942382574e-05
1755016069,5,0,291,1.73519947566092e-05
1755016070,5,0,165,1.9229017198085785e-05
1755016071,5,0,1178,1.9969011191278696e-05
1755016072,5,0,290,1.9687984604388475e-05
1755016073,5,0,1361,1.984502887353301e-05
1755016074,5,0,2733,2.0925013814121485e-05
1755016075,5,0,18,1.816899748519063e-05
1755016076,5,0,302,1.3115000911056995e-05
1755016077,5,0,1184,1.5154015272855759e-05
1755016078,5,0,1291,1.3486016541719437e-05
1755016079,5,0,1352,1.4542019926011562e-05
1755016080,5,0,205,1.2381002306938171e-05
1755016081,5,0,1282,1.3621989637613297e-05
1755016082,5,0,253,1.1609983630478382e-05
1755016083,5,0,3099,1.2834963854402304e-05
1755016084,5,0,2904,1.342495670542121e-05
1755016085,5,0,1194,1.6300997231155634e-05
1755016086,5,0,379,1.3198994565755129e-05
1755016087,5,0,489,1.199403777718544e-05
1755016088,5,0,122,1.2557022273540497e-05
1755016089,5,0,186,1.23819918371737e-05
1755016090,5,0,408,1.2075994163751602e-05
1755016091,5,0,136,1.119798980653286e-05
1755016092,5,0,1209,1.3594049960374832e-05
1755016093,5,0,277,1.4334043953567743e-05
1755016094,5,0,1186,1.1563010048121214e-05
1755016095,5,0,1051,1.3595039490610361e-05
1755016096,5,0,320,1.2468022760003805e-05
1755016097,5,0,1147,1.482199877500534e-05
1755016098,5,0,320,1.2989970855414867e-05
1755016099,5,0,654,1.240801066160202e-05
1755016100,5,0,1366,1.4448014553636312e-05
1755016101,5,0,101,1.2529955711215734e-05
1755016102,5,0,419,1.2522970791906118e-05
1755016103,5,0,362,1.242698635905981e-05
1755016104,5,0,2578,1.3632990885525942e-05
1755016105,5,0,1096,1.3047014363110065e-05
1755016106,5,0,241,1.2548989616334438e-05
1755016107,5,0,571,1.1557945981621742e-05
1755016108,5,0,438,1.0974006727337837e-05
1755016109,5,0,49,1.197203528136015e-05
1755016110,5,0,58,1.1419993825256824e-05
1755016111,5,0,65,1.1384021490812302e-05
1755016112,5,0,113,1.1549040209501982e-05
1755016113,5,0,1302,1.3884971849620342e-05
1755016114,5,0,2762,1.4416000340133905e-05
1755016115,5,0,45,1.2420001439750195e-05
1755016116,5,0,1215,1.3622979167848825e-05
1755016117,5,0,1172,1.3113021850585938e-05
1755016118,5,0,1366,1.3982993550598621e-05
1755016119,5,0,109,1.0843970812857151e-05
