periods,seeds,read_offsets,write_offsets,min,max,mean,std,diff,"(latency, count)"
"[8, 6, 10]",1755016037,"[0, 1, 0]","[0, 1, 0]",2,21,22.917,17.062,3,"[(2, 2), (3, 2), (4, 6), (5, 6), (6, 12), (7, 12), (8, 18), (9, 18), (10, 21), (11, 22), (12, 22), (13, 22), (14, 18), (15, 18), (16, 12), (17, 12), (18, 6), (19, 6), (20, 2), (21, 2)]"
"[8, 7, 3]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,15,15.0,11.504,3,"[(0, 2), (1, 6), (2, 12), (3, 18), (4, 24), (5, 30), (6, 36), (7, 40), (8, 40), (9, 36), (10, 30), (11, 24), (12, 18), (13, 12), (14, 6), (15, 2)]"
"[8, 7, 4]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,16,15.839,12.033,3,"[(1, 3), (2, 4), (3, 4), (4, 4), (5, 12), (6, 12), (7, 12), (8, 12), (9, 10), (10, 10), (11, 10), (12, 10), (13, 2), (14, 2), (15, 2), (16, 2)]"
"[8, 7, 5]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,17,17.0,12.923,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 40), (6, 50), (7, 58), (8, 62), (9, 62), (10, 58), (11, 50), (12, 40), (13, 30), (14, 20), (15, 12), (16, 6), (17, 2)]"
"[8, 7, 6]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,18,18.137,13.673,3,"[(1, 3), (2, 4), (3, 12), (4, 12), (5, 24), (6, 24), (7, 34), (8, 34), (9, 36), (10, 36), (11, 30), (12, 30), (13, 18), (14, 18), (15, 8), (16, 8), (17, 2), (18, 2)]"
"[8, 7, 7]",1755016037,"[0, 0, 6]","[0, 0, 6]",6,19,23.375,15.679,3,"[(6, 1), (7, 4), (8, 6), (9, 8), (10, 10), (11, 12), (12, 14), (13, 14), (14, 12), (15, 9), (16, 7), (17, 5), (18, 3), (19, 1)]"
"[8, 7, 8]",1755016037,"[0, 0, 5]","[0, 0, 5]",5,20,17.875,12.595,3,"[(5, 11), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12), (13, 2), (14, 2), (15, 2), (16, 2), (17, 1), (18, 1), (19, 1), (20, 1)]"
"[8, 7, 9]",1755016037,"[0, 0, 0]","[0, 0, 0]",0,21,21.0,15.885,3,"[(0, 2), (1, 6), (2, 12), (3, 20), (4, 30), (5, 42), (6, 56), (7, 70), (8, 82), (9, 90), (10, 94), (11, 94), (12, 90), (13, 82), (14, 70), (15, 56), (16, 42), (17, 30), (18, 20), (19, 12), (20, 6), (21, 2)]"
"[8, 7, 10]",1755016037,"[0, 0, 1]","[0, 0, 1]",1,22,22.139,16.685,3,"[(1, 3), (2, 4), (3, 12), (4, 12), (5, 24), (6, 24), (7, 38), (8, 38), (9, 48), (10, 48), (11, 50), (12, 50), (13, 44), (14, 44), (15, 32), (16, 32), (17, 18), (18, 18), (19, 8), (20, 8), (21, 2), (22, 2)]"
"[8, 8, 3]",1755016037,"[0, 7, 0]","[0, 7, 0]",7,16,19.75,11.198,3,"[(7, 2), (8, 4), (9, 4), (10, 5), (11, 5), (12, 5), (13, 5), (14, 5), (15, 4), (16, 2)]"
"[8, 8, 4]",1755016037,"[0, 7, 2]","[0, 7, 2]",10,17,14.875,3.003,3,"[(10, 1), (11, 2), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1)]"
